Date,Team,Pitcher,SO_Projection,Model_Id,OU,Over_Odds,Scale_Over,Under_Odds,Scale_Over,BE_Over,BE_Under,Poisson_Over,Poison_Under,Edge_Over,Edge_Under,OverUnder_Id,Platform,Bet_Amt,Win_Loss,Net,Net_Auto,Secondary
6/14/2022,ATL,Max Fried,4.78,1,5.5,110,1.1,-145,-0.689655172,0.476,0.592,0.346,0.654,-13.069%,6.266%,1,1,7.00,L,-7.00,-7.00,
6/14/2022,PIT,JT Brubaker,4.03,1,4.5,100,1,-130,-0.769230769,0.500,0.565,0.377,0.623,-12.298%,5.776%,1,1,5.00,L,-5.00,-5.00,
6/14/2022,STL,Matthew Liberatore,4.98,1,3.5,-140,-0.714285714,105,1.05,0.583,0.488,0.732,0.268,14.882%,-21.996%,2,1,10.00,W,7.14,7.14,
6/14/2022,BOS,Nick Pivetta,5.44,1,6.5,-105,-0.952380952,-125,-0.8,0.512,0.556,0.305,0.695,-20.763%,13.988%,1,1,25.00,W,20.00,20.00,
6/14/2022,CLE,Shane Bieber,5.29,1,5.5,-150,-0.666666667,115,1.15,0.600,0.465,0.435,0.565,-16.521%,10.010%,1,1,25.00,L,-25.00,-25.00,
6/14/2022,NYY,Gerrit Cole,6.72,1,8.5,125,1.25,-165,-0.606060606,0.444,0.623,0.235,0.765,-20.924%,14.216%,1,1,25.00,W,15.15,15.15,
6/14/2022,MIN,Joe Ryan,4.32,1,4.5,100,1,-135,-0.740740741,0.500,0.574,0.433,0.567,-6.658%,-0.789%,0,1,0.00,,,,
6/14/2022,KC,Kris Bubic,4.24,1,3.5,-125,-0.8,-105,-0.952380952,0.556,0.512,0.612,0.388,5.641%,-12.416%,2,1,6.00,W,4.80,4.80,
6/14/2022,CWS,Dylan Cease,7.22,1,7.5,-115,-0.869565217,-115,-0.869565217,0.535,0.535,0.434,0.566,-10.085%,3.109%,0,1,0.00,,,,
6/14/2022,SF,Logan Webb,5.24,1,4.5,-160,-0.625,120,1.2,0.615,0.455,0.601,0.399,-1.482%,-5.511%,0,1,0.00,,,,
6/14/2022,SD,Sean Manaea,5.00,1,5.5,-135,-0.740740741,100,1,0.574,0.500,0.384,0.616,-19.043%,11.596%,1,1,25.00,W,25.00,25.00,
